POD/p,ap obs 1,ap obs 5,ap obs 9,ap obs 13,ap obs 17
4.285929648241206258e-01,3.002608245126715536e-01,3.042983739065862614e-01,3.071834821145942862e-01,3.092450914126652628e-01,3.107182538008541606e-01
4.335175879396985232e-01,3.012458868506276422e-01,3.050022690566790984e-01,3.076864638683706188e-01,3.096045066531290524e-01,3.109750808410157719e-01
4.384422110552764207e-01,3.022288866160496856e-01,3.057046903560849960e-01,3.081883924539255415e-01,3.099631693320800130e-01,3.112313701239424746e-01
4.433668341708543181e-01,3.032099855496291907e-01,3.064057533797112098e-01,3.086893504575213276e-01,3.103211384631128222e-01,3.114871638189280478e-01
4.482914572864321601e-01,3.041893432717090451e-01,3.071055721873293121e-01,3.091894193827511850e-01,3.106784722861800629e-01,3.117425035424454816e-01
4.532160804020100575e-01,3.051671174735733350e-01,3.078042594602649618e-01,3.096886797482133469e-01,3.110352283373875037e-01,3.119974304080205263e-01
4.581407035175879550e-01,3.061434641031010595e-01,3.085019266340602861e-01,3.101872111823075762e-01,3.113914635167324696e-01,3.122519850746354741e-01
4.630653266331658524e-01,3.071185375453732158e-01,3.091986840275302018e-01,3.106850925154548970e-01,3.117472341540012404e-01,3.125062077938174365e-01
4.679899497487437499e-01,3.080924907987916406e-01,3.098946409686115233e-01,3.111824018700253269e-01,3.121025960730288151e-01,3.127601384555562802e-01
4.729145728643216473e-01,3.090654756472456799e-01,3.105899059173878873e-01,3.116792167482477782e-01,3.124576046545165520e-01,3.130138166331922212e-01
4.778391959798995448e-01,3.100376428288391106e-01,3.112845865866568640e-01,3.121756141183636979e-01,3.128123148975945900e-01,3.132672816274066352e-01
4.827638190954773867e-01,3.110091422016726947e-01,3.119787900603929742e-01,3.126716704992769658e-01,3.131667814803104632e-01,3.135205725094450391e-01
4.876884422110552841e-01,3.119801229071615944e-01,3.126726229104493937e-01,3.131674620439452439e-01,3.135210588192178793e-01,3.137737281636974740e-01
4.926130653266331816e-01,3.129507335313524430e-01,3.133661913118300779e-01,3.136630646217500318e-01,3.138752011282357479e-01,3.140267873297575285e-01
4.975376884422110790e-01,3.139211222646965394e-01,3.140596011568586032e-01,3.141585539000782412e-01,3.142292624769437714e-01,3.142797886440784061e-01
5.024623115577889765e-01,3.148914370607251989e-01,3.147529581685630795e-01,3.146540054253434415e-01,3.145832968484779113e-01,3.145327706813432767e-01
5.073869346733668184e-01,3.158618257940692398e-01,3.154463680135916048e-01,3.151494947036716510e-01,3.149373581971859348e-01,3.147857719956641542e-01
5.123115577889447714e-01,3.168324364182600883e-01,3.161399364149722890e-01,3.156450972814764389e-01,3.152915005062038034e-01,3.150388311617242088e-01
