POD/p,ap obs 1,ap obs 5,ap obs 9,ap obs 13,ap obs 17
9.407537688442211277e-01,4.371182027248868285e-01,4.020924332936061663e-01,3.770640992674542669e-01,3.591796240854416844e-01,3.463999299914676810e-01
9.456783919597990806e-01,4.405130351582396964e-01,4.045182757942676344e-01,3.787975314628699852e-01,3.604182812428146643e-01,3.472850361742008674e-01
9.506030150753769226e-01,4.441608560774429337e-01,4.071248960603128797e-01,3.806601418710700013e-01,3.617492451649200746e-01,3.482361019226512533e-01
9.555276381909547645e-01,4.481116698168022827e-01,4.099480256460254490e-01,3.826774631581570940e-01,3.631907607070794519e-01,3.492661644474400195e-01
9.604522613065327175e-01,4.524323857229238799e-01,4.130354759058316172e-01,3.848836598426629285e-01,3.647672407800022221e-01,3.503926684612375109e-01
9.653768844221105594e-01,4.572155641746123989e-01,4.164533876302386473e-01,3.873259940925413147e-01,3.665124574705134197e-01,3.516397464551650476e-01
9.703015075376885124e-01,4.625947414943062386e-01,4.202971817546573008e-01,3.900726507637804485e-01,3.684751335726845767e-01,3.530422142344000203e-01
9.752261306532663543e-01,4.687733995449256952e-01,4.247122601393784613e-01,3.932275295389989767e-01,3.707295125936252989e-01,3.546531239181502926e-01
9.801507537688443072e-01,4.760855473672711557e-01,4.299372953382574747e-01,3.969611784603315763e-01,3.733974629015502367e-01,3.565595588817827011e-01
9.850753768844221492e-01,4.851417656840171233e-01,4.364085894946921340e-01,4.015853655762349206e-01,3.767017643234883417e-01,3.589207107152524445e-01
9.899999999999999911e-01,4.972675031073068297e-01,4.450732672868227269e-01,4.077768769557608697e-01,3.811260273004238863e-01,3.620821525166533217e-01
