POD/p,ap95 obs 1,ap95 obs 5,ap95 obs 9,ap95 obs 13,ap95 obs 17
5.270854271356784082e-01,3.334529362222302673e-01,3.318697216488987745e-01,3.307372748388746619e-01,3.299265901254374023e-01,3.293463529178222160e-01
5.320100502512563612e-01,3.344692059766731229e-01,3.325976217056268447e-01,3.312586029394605225e-01,3.302996771382202823e-01,3.296131006553671416e-01
5.369346733668342031e-01,3.354875119924825566e-01,3.333272950325517625e-01,3.317814230736495507e-01,3.306739435242633252e-01,3.298807303267037860e-01
5.418592964824120450e-01,3.365080063882494033e-01,3.340588509857593258e-01,3.323058143947793530e-01,3.310494468406949276e-01,3.301492837554254045e-01
5.467839195979899980e-01,3.375308430288595507e-01,3.347924002745562566e-01,3.328318571164338158e-01,3.314262454717943340e-01,3.304188033977010219e-01
5.517085427135678399e-01,3.385561777061869559e-01,3.355280550930420658e-01,3.333596326079573124e-01,3.318043986980952487e-01,3.306893323922360794e-01
5.566331658291457929e-01,3.395841683246832443e-01,3.362659292554435186e-01,3.338892234928770852e-01,3.321839667677151664e-01,3.309609146119071865e-01
5.615577889447236348e-01,3.406149750924360453e-01,3.370061383356270923e-01,3.344207137505405547e-01,3.325650109701331902e-01,3.312335947172344586e-01
5.664824120603015878e-01,3.416487607182969732e-01,3.377487998112272960e-01,3.349541888212868024e-01,3.329475937126503693e-01,3.315074182118612489e-01
5.714070351758794297e-01,3.426856906157120242e-01,3.384940332128545393e-01,3.354897357154934534e-01,3.333317785997844673e-01,3.317824315002258495e-01
5.763316582914572717e-01,3.437259331139262963e-01,3.392419602788728228e-01,3.360274431268578943e-01,3.337176305158611189e-01,3.320586819476170626e-01
5.812562814070352246e-01,3.447696596772745758e-01,3.399927051162686120e-01,3.365674015502989058e-01,3.341052157110863674e-01,3.323362179428214214e-01
5.861809045226130666e-01,3.458170451333152373e-01,3.407463943681674490e-01,3.371097034048858299e-01,3.344946018914004560e-01,3.326150889635828833e-01
5.911055276381910195e-01,3.468682679106174782e-01,3.415031573885921601e-01,3.376544431622361953e-01,3.348858583124372235e-01,3.328953456451119175e-01
5.960301507537688614e-01,3.479235102870658070e-01,3.422631264250984851e-01,3.382017174808491511e-01,3.352790558779346619e-01,3.331770398518982823e-01
6.009547738693468144e-01,3.489829586496114855e-01,3.430264368099726902e-01,3.387516253468821348e-01,3.356742672429702812e-01,3.334602247531009422e-01
6.058793969849246563e-01,3.500468037664679066e-01,3.437932271607241352e-01,3.393042682219121198e-01,3.360715669224218494e-01,3.337449549018108863e-01
6.108040201005024983e-01,3.511152410728249906e-01,3.445636395906671590e-01,3.398597501982697500e-01,3.364710314050884943e-01,3.340312863185044834e-01
6.157286432160804512e-01,3.521884709712424510e-01,3.453378199304469320e-01,3.404181781625789660e-01,3.368727392739388482e-01,3.343192765790326537e-01
6.206532663316582932e-01,3.532666991479777030e-01,3.461159179614355930e-01,3.409796619681900176e-01,3.372767713329963279e-01,3.346089849075186695e-01
6.255778894472362461e-01,3.543501369066058837e-01,3.468980876620029186e-01,3.415443146172483235e-01,3.376832107414104445e-01,3.349004722745713147e-01
6.305025125628140881e-01,3.554390015204098030e-01,3.476844874677518793e-01,3.421122524532100306e-01,3.380921431553147172e-01,3.351938015012523864e-01
6.354271356783920410e-01,3.565335166051424864e-01,3.484752805469049086e-01,3.426835953646833466e-01,3.385036568781216171e-01,3.354890373692798189e-01
6.403517587939698830e-01,3.576339125139108566e-01,3.492706350921330749e-01,3.432584670015553785e-01,3.389178430199665248e-01,3.357862467379886251e-01
6.452763819095477249e-01,3.587404267560874715e-01,3.500707246302396380e-01,3.438369950044521950e-01,3.393347956670761389e-01,3.360854986686229173e-01
6.502010050251256779e-01,3.598533044423322114e-01,3.508757283512381475e-01,3.444193112486769182e-01,3.397546120619102661e-01,3.363868645565820659e-01
6.551256281407035198e-01,3.609727987580063080e-01,3.516858314585140088e-01,3.450055521038807305e-01,3.401773927950071386e-01,3.366904182723076677e-01
6.600502512562814728e-01,3.620991714674784423e-01,3.525012255419211482e-01,3.455958587108422519e-01,3.406032420095516655e-01,3.369962363115627801e-01
6.649748743718593147e-01,3.632326934520665462e-01,3.533221089758445399e-01,3.461903772768659682e-01,3.410322676197879987e-01,3.373043979559279815e-01
6.698994974874372677e-01,3.643736452846387253e-01,3.541486873444676942e-01,3.467892593914637112e-01,3.414645815445089272e-01,3.376149854444247533e-01
6.748241206030151096e-01,3.655223178441950327e-01,3.549811738967068031e-01,3.473926623641506173e-01,3.419002999569815127e-01,3.379280841572667171e-01
6.797487437185929515e-01,3.666790129741043791e-01,3.558197900335318686e-01,3.480007495863773892e-01,3.423395435528093222e-01,3.382437828128457835e-01
6.846733668341709045e-01,3.678440441880514444e-01,3.566647658306800750e-01,3.486136909198361278e-01,3.427824378373894310e-01,3.385621736791744607e-01
6.895979899497487464e-01,3.690177374281846667e-01,3.575163406000896327e-01,3.492316631136140326e-01,3.432291134348018913e-01,3.388833528011409579e-01
