POD/p,ap95 obs 1,ap95 obs 5,ap95 obs 9,ap95 obs 13,ap95 obs 17
9.407537688442211277e-01,4.608229726098367340e-01,4.248174954604332365e-01,3.986447308173813875e-01,3.793435919763892272e-01,3.650898702962015463e-01
9.456783919597990806e-01,4.645891441221102758e-01,4.275976819755150649e-01,4.007029440046402380e-01,3.808612402424748633e-01,3.662006656127982929e-01
9.506030150753769226e-01,4.686385602521523364e-01,4.305880087447546134e-01,4.029177108262699258e-01,3.824951994178162340e-01,3.673973140437487017e-01
9.555276381909547645e-01,4.730271983436860617e-01,4.338300031801090029e-01,4.053199722189638754e-01,3.842684695681530260e-01,3.686968138700360553e-01
9.604522613065327175e-01,4.778299720035836806e-01,4.373792453635929611e-01,4.079511439671983930e-01,3.862118420750033088e-01,3.701219266346347792e-01
9.653768844221105594e-01,4.831505321121717933e-01,4.413126430211393725e-01,4.108685411246668084e-01,3.883679361860846724e-01,3.717041649142105442e-01
9.703015075376885124e-01,4.891384428139072815e-01,4.457411816868695476e-01,4.141548858976412117e-01,3.907982753372675200e-01,3.734890312255085276e-01
9.752261306532663543e-01,4.960216556025752177e-01,4.508340330858491285e-01,4.179362875507136588e-01,3.935966711366122861e-01,3.755459292022004791e-01
9.801507537688443072e-01,5.041744321398927697e-01,4.568689851398331503e-01,4.224198578767046075e-01,3.969172292091346921e-01,3.779889084079223194e-01
9.850753768844221492e-01,5.142811215548636072e-01,4.643540539232627884e-01,4.279844350814885345e-01,4.010419111369599166e-01,3.810267258891102404e-01
9.899999999999999911e-01,5.278278054566867272e-01,4.743926029167516711e-01,4.354530191755064394e-01,4.065834731251367629e-01,3.851132784038678314e-01
